#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Jan 23 14:14:56 EST 2019,5,5,Assignment1Suite,ClearTest1+ , ,ClearTest0- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1- SizeTest2- SizeTest3- , ,
1,Wed Jan 23 17:47:40 EST 2019,82,77,Assignment1Suite,ClearTest0+ ClearTest1 EverythingTest0+ GetTest0+ GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest1+ SizeTest2+ , ,InsertTest3 SizeTest0 SizeTest3 , ,
2,Wed Jan 23 18:04:30 EST 2019,82,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,InsertTest3 SizeTest0 SizeTest3 , ,
3,Wed Jan 23 18:07:20 EST 2019,100,18,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3+ RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0+ SizeTest1 SizeTest2 SizeTest3+ , , , ,
4,Thu Jan 24 19:19:09 EST 2019,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
5,Sat Feb 09 17:27:14 EST 2019,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
